subject_number,acc,prec,rec,f1
0,0.9414414414414415,0.825,1.0,0.9041095890410958
1,0.9316888045540797,0.9809264305177112,0.7809110629067245,0.8695652173913043
2,0.9660163624921334,0.891566265060241,1.0,0.9426751592356688
3,0.9570815450643777,0.8715596330275229,1.0,0.9313725490196079
4,0.8832612723903644,0.9657794676806084,0.5852534562211982,0.7288378766140603
5,0.9510835913312693,0.8725868725868726,0.9720430107526882,0.9196337741607324
6,0.9772167487684729,0.9827213822894169,0.9400826446280992,0.9609292502639917
7,0.8544891640866873,0.9674418604651163,0.47706422018348627,0.6390168970814132
8,0.9243597379392495,1.0,0.7495069033530573,0.8568207440811725
9,0.9957291031116534,0.9879759519038076,0.9979757085020243,0.9929506545820747
10,0.9474969474969475,0.8539741219963032,0.9850746268656716,0.9148514851485149
11,0.9353264185478951,0.8812260536398467,0.9126984126984127,0.8966861598440545
12,0.8837492391965917,0.8574660633484162,0.747534516765286,0.7987355110642781
13,0.9436964504283966,0.84,1.0,0.9130434782608696
14,0.9404052443384983,0.9097888675623801,0.8994307400379506,0.9045801526717557
